Customer ID,Recency,Frequency,Monetary,Cluster
AA-10315,185,11,5563.56,1
AA-10375,20,15,1056.39,0
AA-10480,260,12,1790.5120000000002,0
AA-10645,56,18,5086.9349999999995,1
AB-10015,416,6,886.156,2
AB-10060,55,18,7755.62,1
AB-10105,42,20,14473.570999999998,1
AB-10150,42,12,966.71,0
AB-10165,26,14,1113.838,0
AB-10255,167,14,914.5319999999999,0
AB-10600,51,8,1515.862,0
AC-10420,233,5,925.8,0
AC-10450,12,9,5527.846,0
AC-10615,7,18,2537.6859999999997,1
AC-10660,283,6,657.316,0
AD-10180,30,12,6106.88,1
AF-10870,42,16,2052.908,0
AF-10885,416,7,861.565,2
AG-10270,279,14,2582.898,0
AG-10300,119,5,367.548,0
AG-10330,9,9,660.972,0
AG-10390,115,8,200.945,0
AG-10495,79,21,2356.855,1
AG-10525,846,9,1455.038,2
AG-10675,98,15,3489.0396000000005,0
AG-10765,78,5,170.584,0
AG-10900,97,21,4510.797,1
AH-10030,13,11,1744.7,0
AH-10075,35,20,3250.337,1
AH-10120,61,16,1735.5140000000001,0
AH-10195,56,8,1587.452,0
AH-10210,7,13,4805.344,1
AH-10465,231,8,2495.3916,0
AH-10585,22,5,738.504,0
AH-10690,411,23,7888.294,1
AI-10855,14,18,4375.786,1
AJ-10780,76,15,4867.344,1
AJ-10795,167,21,4501.391,1
AJ-10945,86,10,1839.24,0
AJ-10960,75,5,629.2479999999999,0
AM-10360,29,12,814.012,0
AM-10705,163,22,5664.022,1
AO-10810,502,1,161.28,2
AP-10720,42,19,1638.554,0
AP-10915,99,31,3323.556,1
AR-10345,112,5,1055.694,0
AR-10405,126,7,2236.128,0
AR-10510,15,7,264.86400000000003,0
AR-10540,7,9,6608.448,1
AR-10570,535,2,88.15,2
AR-10825,59,13,4523.336,0
AS-10045,89,10,3050.692,0
AS-10090,29,25,3255.31,1
AS-10135,42,3,58.82,0
AS-10225,23,13,4260.784,0
AS-10240,193,13,584.6080000000001,0
AS-10285,20,8,3214.236,0
AS-10630,93,12,833.398,0
AT-10435,22,9,1171.814,0
AT-10735,14,16,3831.864,1
AW-10840,21,8,649.376,0
AW-10930,47,16,2852.968,0
AY-10555,15,10,497.014,0
AZ-10750,161,12,1622.0179999999998,0
BB-10990,106,8,744.3399999999999,0
BB-11545,29,20,6765.728,1
BC-11125,203,18,2933.676,1
BD-11320,34,19,5718.521,1
BD-11500,36,10,4411.2429999999995,0
BD-11560,279,4,320.54,0
BD-11605,98,20,3288.471,1
BD-11620,70,8,1538.11,0
BD-11635,10,5,582.646,0
BD-11725,94,10,1526.5,0
BD-11770,328,10,658.466,2
BE-11335,120,9,4204.676,0
BE-11410,99,5,2261.438,0
BE-11455,255,13,1727.652,0
BF-10975,92,13,599.798,0
BF-11005,40,10,1333.88,0
BF-11020,75,21,2888.506,1
BF-11080,26,6,272.95,0
BF-11170,17,27,5907.972,1
BF-11215,66,8,1585.162,0
BF-11275,58,4,791.9899999999999,0
BG-11035,29,12,2798.948,0
BG-11695,37,8,1874.172,0
BG-11740,58,7,1006.356,0
BH-11710,24,24,6255.351,1
BK-11260,78,16,659.1379999999999,0
BM-11140,308,16,11789.63,1
BM-11575,101,10,808.162,0
BM-11650,34,29,7294.185,1
BM-11785,219,14,1338.842,0
BN-11470,25,6,265.296,0
BN-11515,10,17,1459.344,0
BO-11350,138,12,2682.728,0
BO-11425,76,2,130.83,0
BP-11050,84,7,983.42,0
BP-11095,18,20,2442.044,1
BP-11155,90,11,1697.8609999999999,0
BP-11185,2,18,3675.861,1
BP-11230,40,6,1181.49,0
BP-11290,13,16,2475.157,0
BS-11365,559,9,10501.653,2
BS-11380,29,13,3887.834,0
BS-11590,36,10,2454.928,0
BS-11665,583,11,3288.1099999999997,2
BS-11755,2,14,2562.382,0
BS-11800,266,8,949.4300000000001,0
BT-11305,337,9,2567.656,2
BT-11395,303,10,2186.6130000000003,0
BT-11440,561,7,603.876,2
BT-11485,660,3,415.19599999999997,2
BT-11530,92,10,2684.4919999999997,0
BT-11680,21,20,3196.752,1
BV-11245,335,14,1523.2730000000001,0
BW-11065,213,3,385.516,0
BW-11110,122,17,4750.358,1
BW-11200,204,10,1738.406,0
CA-11965,97,10,3789.7228,0
CA-12055,402,10,1679.7240000000002,2
CA-12265,57,17,2648.2872,0
CA-12310,14,11,1421.954,0
CA-12775,121,17,3041.566,1
CB-12025,48,26,6076.139,1
CB-12415,27,12,1949.2,0
CB-12535,198,19,4246.4555,1
CC-12100,458,13,1770.945,2
CC-12145,107,11,2471.65,0
CC-12220,21,22,3913.418,1
CC-12370,44,11,12129.072000000002,1
CC-12430,1,19,2870.05,1
CC-12475,40,13,1659.438,0
CC-12550,28,4,113.832,0
CC-12610,35,12,2540.631,0
CC-12670,30,14,2269.7015,0
CC-12685,800,12,2854.1150000000002,2
CD-11920,41,9,2033.968,0
CD-11980,55,6,639.766,0
CD-12280,43,13,1205.584,0
CD-12790,400,15,1860.732,2
CG-12040,50,9,904.4680000000001,0
CG-12520,339,5,1148.7800000000002,2
CH-12070,692,4,1537.236,2
CJ-11875,366,1,16.52,2
CJ-12010,190,20,11164.974,1
CK-12205,40,32,3154.855,1
CK-12325,121,12,2945.321,0
CK-12595,44,25,2372.75,1
CK-12760,83,14,1582.109,0
CL-11890,107,7,1262.0140000000001,0
CL-12565,285,28,10880.546,1
CL-12700,106,8,2353.586,0
CM-11815,132,10,1673.888,0
CM-11935,709,4,565.392,2
CM-12115,9,7,1661.6100000000001,0
CM-12160,27,7,2533.314,0
CM-12190,9,7,1475.144,0
CM-12235,386,8,2305.712,2
CM-12385,38,10,8954.019999999999,1
CM-12445,437,9,287.99,2
CM-12655,28,10,6339.5576,1
CM-12715,1036,13,3984.4524,2
CP-12085,83,14,5402.254,1
CP-12340,161,15,5888.275,1
CR-12580,58,6,2148.852,0
CR-12625,471,4,475.9,2
CR-12730,79,6,1600.55,0
CR-12820,86,7,1397.8724,0
CS-11845,92,8,1278.954,0
CS-11860,163,7,537.632,0
CS-11950,26,22,3036.547,1
CS-12130,490,7,884.64,2
CS-12175,233,8,844.4580000000001,0
CS-12250,27,28,2754.216,1
CS-12355,7,22,3202.1620000000003,1
CS-12400,3,14,3651.8585000000003,0
CS-12460,28,6,550.644,0
CS-12490,425,9,1077.2285,2
CS-12505,59,9,5690.054999999999,0
CT-11995,97,18,3241.898,1
CV-12295,255,13,2830.6279999999997,0
CV-12805,6,19,2370.3136,1
CW-11905,23,11,1136.592,0
CY-12745,61,11,2900.026,0
Co-12640,550,8,1300.076,2
DA-13450,353,8,156.76,2
DB-12910,22,12,2171.599,0
DB-12970,242,14,2839.2272,0
DB-13060,17,13,4531.646,0
DB-13120,49,14,2973.094,0
DB-13210,10,21,2332.577,1
DB-13270,54,13,4655.897,1
DB-13360,265,6,1081.466,0
DB-13405,188,14,1711.692,0
DB-13555,108,14,3908.8028,0
DB-13615,34,11,1989.05,0
DB-13660,13,10,1155.202,0
DC-12850,38,18,3336.168,1
DC-13285,24,7,1174.618,0
DD-13570,42,9,269.542,0
DE-13255,720,9,2550.874,2
DF-13135,701,6,2390.534,2
DG-13300,33,8,3195.818,0
DH-13075,278,23,4932.872,1
DH-13675,777,11,1043.096,2
DJ-13420,638,5,2012.52,2
DJ-13510,49,13,2501.6879999999996,0
DJ-13630,13,8,3356.398,0
DK-12835,22,27,3256.48,1
DK-12895,46,15,4282.176,1
DK-12985,8,8,1687.04,0
DK-13090,43,13,2650.557,0
DK-13150,11,5,797.832,0
DK-13225,11,19,4802.394,1
DK-13375,20,23,3318.486,1
DL-12865,101,14,1503.112,0
DL-12925,58,14,3272.2,0
DL-13315,23,17,1458.258,0
DL-13330,58,8,585.02,0
DL-13495,77,12,3539.322,0
DM-12955,115,9,1322.034,0
DM-13015,58,20,6345.103,1
DM-13345,23,13,4074.4719999999998,0
DM-13525,482,10,1376.792,2
DN-13690,218,11,2139.79,0
DO-13435,134,13,1300.0315,0
DO-13645,27,11,1267.316,0
DP-13000,127,17,1050.636,0
DP-13105,7,14,2215.002,0
DP-13165,813,4,1058.616,2
DP-13390,359,14,5480.723999999999,1
DR-12880,4,24,6528.034000000001,1
DR-12940,51,13,8350.868,1
DS-13030,94,19,1762.213,0
DS-13180,24,20,2881.8128,1
DV-13045,20,9,1119.483,0
DV-13465,30,15,3341.587,0
DW-13195,70,9,1080.751,0
DW-13480,218,11,5271.628,0
DW-13540,99,9,344.08,0
DW-13585,243,10,1204.854,0
Dl-13600,120,6,755.602,0
Dp-13240,85,29,7198.7609999999995,1
EA-14035,153,25,2846.705,1
EB-13705,49,12,3644.978,0
EB-13750,36,20,3236.314,1
EB-13840,91,8,4358.128,0
EB-13870,101,11,2767.219,0
EB-13930,162,7,944.6000000000001,0
EB-13975,1,6,1643.255,0
EB-14110,114,11,3071.126,0
EB-14170,83,7,1186.326,0
EC-14050,54,7,461.914,0
ED-13885,136,14,3484.92,0
EG-13900,23,9,1832.02,0
EH-13765,136,32,10310.880000000001,1
EH-13945,218,17,684.1709999999999,0
EH-13990,406,8,825.9499999999999,2
EH-14005,3,11,1219.53,0
EH-14125,153,18,3082.653,1
EH-14185,106,8,923.884,0
EJ-13720,303,8,2162.174,0
EJ-14155,58,8,2656.691,0
EK-13795,45,4,1303.478,0
EL-13735,78,2,124.28,0
EM-13810,133,7,2567.0099999999998,0
EM-13825,56,16,2339.598,0
EM-13960,152,6,933.704,0
EM-14065,48,6,228.99,0
EM-14095,114,10,1041.0420000000001,0
EM-14140,49,21,4588.436000000001,1
EM-14200,159,4,366.822,0
EN-13780,288,9,2199.366,0
EP-13915,13,31,5478.0608,1
ER-13855,422,5,1245.788,2
ES-14020,41,8,3510.4579999999996,0
ES-14080,29,20,4657.924,1
FA-14230,98,17,2984.054,1
FC-14245,71,14,3418.742,0
FC-14335,185,10,3889.366,0
FG-14260,35,11,1383.144,0
FH-14275,38,21,4256.272,1
FH-14350,213,14,2271.284,0
FH-14365,6,13,6987.196,1
FM-14215,8,15,2456.638,0
FM-14290,37,20,3736.198,1
FM-14380,146,14,2523.266,0
FO-14305,39,15,2678.438,0
FP-14320,24,14,4046.746,0
FW-14395,363,3,79.75,2
GA-14515,150,14,3919.7760000000003,0
GA-14725,6,22,1398.382,1
GB-14530,63,20,1568.44,1
GB-14575,14,16,4716.288,1
GD-14590,6,6,1888.07,0
GG-14650,44,24,2224.0,1
GH-14410,76,17,2819.4669999999996,1
GH-14425,51,10,4172.8460000000005,0
GH-14485,388,3,1361.2440000000001,2
GH-14665,3,3,146.94080000000002,0
GK-14620,113,14,6497.27,1
GM-14440,84,11,3582.8199999999997,0
GM-14455,17,12,3078.624,0
GM-14500,107,13,1255.682,0
GM-14680,153,11,3163.628,0
GM-14695,118,11,6049.966,1
GP-14740,766,5,236.53,2
GR-14560,1136,5,1284.38,2
GT-14635,57,6,9351.212,1
GT-14710,37,29,11820.119999999999,1
GT-14755,35,7,226.436,0
GW-14605,29,9,2189.019,0
GZ-14470,8,14,4355.150000000001,1
GZ-14545,158,5,2454.6220000000003,0
HA-14905,70,10,2163.3,0
HA-14920,21,18,2584.158,1
HD-14785,770,7,251.36,2
HE-14800,13,11,883.5319999999999,0
HF-14995,22,19,2533.1639999999998,1
HG-14845,55,10,785.628,0
HG-14965,24,17,3247.642,1
HG-15025,7,11,3690.284,0
HH-15010,73,6,218.668,0
HJ-14875,127,6,358.1,0
HK-14890,152,15,4877.784,1
HL-15040,44,11,12873.297999999999,1
HM-14860,3,20,8236.7648,1
HM-14980,248,7,736.276,0
HP-14815,31,10,1990.314,0
HR-14770,14,13,1299.288,0
HR-14830,160,14,5248.787,1
HW-14935,118,20,9300.254,1
HZ-14950,36,6,886.52,0
IG-15085,72,7,744.574,0
IL-15100,143,14,5040.736,1
IM-15055,410,4,2872.63,2
IM-15070,391,21,4930.474,1
JA-15970,93,24,6491.026,1
JB-15400,8,16,1791.605,0
JB-15925,738,8,900.552,2
JB-16000,44,7,644.1188,0
JB-16045,8,9,2518.115,0
JC-15340,115,4,71.263,0
JC-15385,176,4,1058.108,0
JC-15775,159,16,2772.055,0
JC-16105,58,9,858.576,0
JD-15790,118,7,2152.352,0
JD-15895,395,32,7610.8640000000005,1
JD-16015,113,11,385.43,0
JD-16060,301,6,695.442,2
JD-16150,42,17,8828.0305,1
JE-15475,194,13,1388.682,0
JE-15610,49,20,7754.976,1
